year,month,day,hour,Greenhouse Solar Radiation (W/m2),Greenhouse Air Temperature (C)
2013,3,29,21,0,20.2875
2013,3,29,22,0,19.1775
2013,3,29,23,0,17.845
2013,3,30,0,0,17.0575
2013,3,30,1,0,16.6375
2013,3,30,2,0,16.14
2013,3,30,3,0,15.1175
2013,3,30,4,0,15.27
2013,3,30,5,0,15.1125
2013,3,30,6,0,15.065
2013,3,30,7,2.51775,14.72
2013,3,30,8,57.61,16.005
2013,3,30,9,146.75,19.6725
2013,3,30,10,234.875,24.635
2013,3,30,11,302.05,24.72
2013,3,30,12,402.525,24.7975
2013,3,30,13,501.625,24.735
2013,3,30,14,266.85,24.5675
2013,3,30,15,317.75,24.835
2013,3,30,16,250.575,24.7725
2013,3,30,17,390.25,24.375
2013,3,30,18,200.05,24.2825
2013,3,30,19,91.055,24.865
2013,3,30,20,1.589,22.74
2013,3,30,21,0,21.2175
2013,3,30,22,0,19.93
2013,3,30,23,0,18.0225
2013,3,31,0,0,16.61
2013,3,31,1,0,15.32
2013,3,31,2,0,14.455
2013,3,31,3,0,13.5025
2013,3,31,4,0,12.7525
2013,3,31,5,0,12.0975
2013,3,31,6,0,11.5225
2013,3,31,7,4.363,10.9175
2013,3,31,8,116.945,15.0075
2013,3,31,9,259.35,23.435
2013,3,31,10,388.325,25.03
2013,3,31,11,516.675,24.7875
2013,3,31,12,613.025,24.88
2013,3,31,13,637.6,25.235
2013,3,31,14,632.875,24.965
2013,3,31,15,612.9,24.8675
2013,3,31,16,520.225,24.92
2013,3,31,17,402.075,24.4675
2013,3,31,18,236.325,24.335
2013,3,31,19,98.7375,24.7775
2013,3,31,20,0.92725,23.1925
2013,3,31,21,0,20.92
2013,3,31,22,0,19.695
2013,3,31,23,0,18.28
2013,4,1,0,0,16.9175
2013,4,1,1,0,15.765
2013,4,1,2,0,14.87
2013,4,1,3,0,14.4575
2013,4,1,4,0,13.845
2013,4,1,5,0,13.14
2013,4,1,6,0,12.5975
2013,4,1,7,5.4545,11.7475
2013,4,1,8,123.855,15.775
2013,4,1,9,259.85,24.015
2013,4,1,10,370.8,25.245
2013,4,1,11,515.15,24.7075
2013,4,1,12,584.375,24.79
2013,4,1,13,627.925,25.14
2013,4,1,14,623.3,25.1275
2013,4,1,15,609.325,24.9025
2013,4,1,16,508,24.535
2013,4,1,17,370.925,24.4175
2013,4,1,18,240.925,24.5825
2013,4,1,19,78.6825,24.84
2013,4,1,20,1.96425,22.9275
2013,4,1,21,0,20.785
2013,4,1,22,0,19.4975
2013,4,1,23,0,18.555
2013,4,2,0,0,17.9125
2013,4,2,1,0,16.995
2013,4,2,2,0,15.525
2013,4,2,3,0,14.25
2013,4,2,4,0,12.725
2013,4,2,5,0,11.95
2013,4,2,6,0,11.2575
2013,4,2,7,6.57025,10.655
2013,4,2,8,133.1,15.0075
2013,4,2,9,280.575,23.565
2013,4,2,10,399.65,24.8175
2013,4,2,11,531.825,24.5425
2013,4,2,12,612.25,24.295
2013,4,2,13,651.925,24.37
2013,4,2,14,648.05,24.54
2013,4,2,15,626.875,24.4925
2013,4,2,16,538.125,24
2013,4,2,17,395,24.025
2013,4,2,18,264.825,24.195
2013,4,2,19,117.19,24.5225
2013,4,2,20,3.42875,22.2775
2013,4,2,21,0,19.5225
2013,4,2,22,0,18.0025
2013,4,2,23,0,16.25
2013,4,3,0,0,14.935
2013,4,3,1,0,14.125
2013,4,3,2,0,13.345
2013,4,3,3,0,12.775
2013,4,3,4,0,12.245
2013,4,3,5,0,11.64
2013,4,3,6,0,11.1425
2013,4,3,7,8.304,10.6975
2013,4,3,8,131.425,15.4275
2013,4,3,9,276.025,23.2925
2013,4,3,10,408.55,25.255
2013,4,3,11,526.825,24.845
2013,4,3,12,596.525,24.185
2013,4,3,13,642.65,24.76
2013,4,3,14,642.85,24.875
2013,4,3,15,649.95,24.73
2013,4,3,16,577.675,24.6775
2013,4,3,17,477.75,24.4575
2013,4,3,18,343.15,24.2475
2013,4,3,19,175.75,24.385
2013,4,3,20,49.7265,24.4275
2013,4,3,21,0,21.52
2013,4,3,22,0,19.505
2013,4,3,23,0,18.1525
2013,4,4,0,0,17.0625
2013,4,4,1,0,15.57
2013,4,4,2,0,14.535
2013,4,4,3,0,13.87
2013,4,4,4,0,13.2625
2013,4,4,5,0,12.575
2013,4,4,6,0,12.0775
2013,4,4,7,0,11.88
2013,4,4,8,32.278,12.3575
2013,4,4,9,191.95,18.02
2013,4,4,10,314,25.3625
2013,4,4,11,455.225,25.25
2013,4,4,12,540.575,24.745
2013,4,4,13,644.775,25.1
2013,4,4,14,487.7,25.09
2013,4,4,15,616.05,25.2175
2013,4,4,16,457.475,24.8775
2013,4,4,17,359.425,24.885
2013,4,4,18,171.325,24.6275
2013,4,4,19,68.2975,25.4275
2013,4,4,20,10.12225,24.76
2013,4,4,21,0,22.1625
2013,4,4,22,0,21.47
2013,4,4,23,0,20.505
2013,4,5,0,0,19.395
2013,4,5,1,0,18.535
2013,4,5,2,0,17.285
2013,4,5,3,0,16.8975
2013,4,5,4,0,16.0625
2013,4,5,5,0,15.585
2013,4,5,6,0,14.9675
2013,4,5,7,0,13.95
2013,4,5,8,36.46975,14.2975
2013,4,5,9,201,21.395
2013,4,5,10,335.975,25.7225
2013,4,5,11,451.175,25.045
2013,4,5,12,580.9,24.9025
2013,4,5,13,643.625,25.0775
2013,4,5,14,634.15,25.1275
2013,4,5,15,646.225,25.155
2013,4,5,16,576.125,25.1775
2013,4,5,17,474.625,24.8925
2013,4,5,18,344.975,24.68
2013,4,5,19,196.15,24.535
2013,4,5,20,48.9115,24.695
2013,4,5,21,0,22.2425
2013,4,5,22,0,21.1375
2013,4,5,23,0,19.965
2013,4,6,0,0,19.1625
2013,4,6,1,0,18.4
2013,4,6,2,0,17.2925
2013,4,6,3,0,15.5525
2013,4,6,4,0,14.6575
2013,4,6,5,0,14.7075
2013,4,6,6,0,13.9575
2013,4,6,7,0,13.2675
2013,4,6,8,45.35475,13.915
2013,4,6,9,208.1,21.5925
2013,4,6,10,342.6,25.4475
2013,4,6,11,472.225,25.0025
2013,4,6,12,587.975,24.6875
2013,4,6,13,648.775,24.8825
2013,4,6,14,640.125,24.805
2013,4,6,15,649.025,24.945
2013,4,6,16,575.875,24.845
2013,4,6,17,475,24.6775
2013,4,6,18,331.925,24.375
2013,4,6,19,197.225,24.3
2013,4,6,20,48.174,24.7225
2013,4,6,21,0,22.265
2013,4,6,22,0,20.855
2013,4,6,23,0,19.8775
2013,4,7,0,0,19.06
2013,4,7,1,0,18.6025
2013,4,7,2,0,17.83
2013,4,7,3,0,16.3725
2013,4,7,4,0,15.575
2013,4,7,5,0,14.88
2013,4,7,6,0,14.3875
2013,4,7,7,0,13.5175
2013,4,7,8,62.15,14.405
2013,4,7,9,212.175,22.465
2013,4,7,10,343.35,25.0925
2013,4,7,11,474.775,24.8975
2013,4,7,12,587.825,24.72
2013,4,7,13,649.225,24.8775
2013,4,7,14,645.05,24.97
2013,4,7,15,651.85,25
2013,4,7,16,581.425,24.865
2013,4,7,17,478.475,24.635
2013,4,7,18,343.125,24.3825
2013,4,7,19,186.025,24.2975
2013,4,7,20,34.6735,24.66
2013,4,7,21,0,22.3025
2013,4,7,22,0,20.4575
2013,4,7,23,0,19.0225
2013,4,8,0,0,18.37
2013,4,8,1,0,17.99
2013,4,8,2,0,17.1225
2013,4,8,3,0,16.0925
2013,4,8,4,0,15.6425
2013,4,8,5,0,15.4925
2013,4,8,6,0,15.435
2013,4,8,7,0,14.6275
2013,4,8,8,62.5825,15.81
2013,4,8,9,208.425,23.1425
2013,4,8,10,340.9,25.11
2013,4,8,11,462.925,25.2
2013,4,8,12,576.225,24.795
2013,4,8,13,633.95,24.8875
2013,4,8,14,638.525,25.1925
2013,4,8,15,642.4,25.135
2013,4,8,16,579.925,24.915
2013,4,8,17,476.85,24.66
2013,4,8,18,343.075,24.41
2013,4,8,19,182.425,24.5925
2013,4,8,20,36.09625,24.235
2013,4,8,21,0,21.425
2013,4,8,22,0,19.1875
2013,4,8,23,0,18.495
2013,4,9,0,0,16.6225
2013,4,9,1,0,14.285
2013,4,9,2,0,14.1475
2013,4,9,3,0,13.345
2013,4,9,4,0,13.0825
2013,4,9,5,0,13.4075
2013,4,9,6,0,13.845
2013,4,9,7,0,13.545
2013,4,9,8,12.9635,13.4575
2013,4,9,9,98.3825,15.335
2013,4,9,10,280.55,21.525
2013,4,9,11,421.05,25.005
2013,4,9,12,557.875,24.17
2013,4,9,13,601.525,24.2625
2013,4,9,14,387,24.325
2013,4,9,15,353.375,24.38
2013,4,9,16,466.75,24.2575
2013,4,9,17,304.7,24.6225
2013,4,9,18,271.925,24.8
2013,4,9,19,180.2,24.535
2013,4,9,20,36.38025,21.7075
2013,4,9,21,0,18.4575
2013,4,9,22,0,15.9275
2013,4,9,23,0,14.08
2013,4,10,0,0,13.2525
2013,4,10,1,0,13.56
2013,4,10,2,0,13.58
2013,4,10,3,0,11.61
2013,4,10,4,0,10.3875
2013,4,10,5,0,9.465
2013,4,10,6,0,8.9775
2013,4,10,7,0,8.27
2013,4,10,8,61.2775,9.0425
2013,4,10,9,218.8,17.82
2013,4,10,10,360.975,24.79
2013,4,10,11,468.925,24.7
2013,4,10,12,541.75,24.5125
2013,4,10,13,575.45,24.805
2013,4,10,14,608.075,24.6875
2013,4,10,15,625.3,24.315
2013,4,10,16,541.1,24.02
2013,4,10,17,466.7,23.9025
2013,4,10,18,355.55,23.775
2013,4,10,19,208.15,24.5325
2013,4,10,20,59.51375,22.8125
