Arizona Price of Natural Gas Delivered to Residential Consumers
https://www.eia.gov/dnav/ng/hist/n3010az3m.htm
01:21:28 GMT-0700 (US Mountain Standard Time)
Source: U.S. Energy Information Administration
Month,Arizona Price of Natural Gas Delivered to Residential Consumers Dollars per Thousand Cubic Feet
Jul 1994,10.18
Jun 1994,9.31
May 1994,8.55
Apr 1994,7.74
Mar 1994,6.94
Feb 1994,6.64
Jan 1994,6.61
Dec 1993,6.72
Nov 1993,7.7
Oct 1993,9.33
Sep 1993,9.68
Aug 1993,9.88
Jul 1993,9.45
Jun 1993,8.87
May 1993,8.18
Apr 1993,7.27
Mar 1993,6.64
Feb 1993,6.46
Jan 1993,6.32
Dec 1992,6.55
Nov 1992,7.59
Oct 1992,9.19
Sep 1992,9.64
Aug 1992,9.87
Jul 1992,9.54
Jun 1992,9.02
May 1992,8.53
Apr 1992,7.43
Mar 1992,6.84
Feb 1992,6.48
Jan 1992,6.4
Dec 1991,6.5
Nov 1991,7.34
Oct 1991,9.22
Sep 1991,9.33
Aug 1991,10.22
Jul 1991,8.72
Jun 1991,8.42
May 1991,7.58
Apr 1991,6.7
Mar 1991,6
Feb 1991,6.65
Jan 1991,6.4
Dec 1990,6.33
Nov 1990,7.35
Oct 1990,8.67
Sep 1990,9.09
Aug 1990,9.34
Jul 1990,9.07
Jun 1990,8.34
May 1990,7.74
Apr 1990,6.99
Mar 1990,6.36
Feb 1990,6.18
Jan 1990,6.15
Dec 1989,6.08
Nov 1989,7.25
Oct 1989,8.68
Sep 1989,9.3
Aug 1989,9.55
Jul 1989,9.04
Jun 1989,8.36
May 1989,8.12
Apr 1989,7.46
Mar 1989,6.65
Feb 1989,6.25
Jan 1989,6.23 
